Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference,Event Id,Event Date,Event Duration
2720.0468750000,3,4218.2050781250,7161.6665039063,5096.5385742188,1274.4871826172,3096.6667480469,6080.3847656250,7864.2309570313,5877.1796875000,6206.7949218750,4998.4614257813,4686.7949218750,5072.4360351563,1004.4871826172,7253.7177734375,7668.4614257813,7750.2563476563,,,
2720.0546875000,3,7339.8715820313,3542.8205566406,1990.6409912109,6998.5898437500,3084.1025390625,5736.7949218750,2908.8461914063,2724.1025390625,6589.1025390625,5605.8974609375,1827.5640869141,1848.7178955078,6456.2822265625,801.0256347656,2928.7180175781,7860.3847656250,,,
2720.0625000000,3,386.9230651855,2373.2050781250,6280.1284179688,6493.8461914063,5695.3847656250,2767.0512695313,2997.4357910156,6318.8461914063,6504.4873046875,405.0000000000,1285.1281738281,7574.3588867188,390.6410217285,7311.7949218750,2318.8461914063,7921.9228515625,,,
2720.0703125000,3,2910.6411132813,66.9230651855,5582.0512695313,8076.5385742188,3541.1538085938,4108.2050781250,8101.5385742188,3629.3588867188,1768.4615478516,7727.6923828125,5248.3334960938,1786.0256347656,3138.4614257813,6747.5639648438,1416.4102783203,7971.5385742188,,,
2720.0781250000,3,3052.8205566406,6650.6411132813,3325.6411132813,8293.8457031250,227.9487152100,7144.2309570313,874.7435913086,5842.3076171875,6163.9741210938,912.5640869141,521.0256347656,7765.0000000000,4147.1796875000,4922.8203125000,3447.3076171875,469.7435913086,,,
2720.0859375000,3,926.5384521484,216.2820434570,1314.3590087891,2898.0769042969,6170.2563476563,7868.8461914063,5762.3076171875,452.3076782227,8165.6411132813,5262.3076171875,5579.6152343750,2077.1794433594,6354.7436523438,953.0769042969,2465.5126953125,5649.8715820313,,,
2720.0937500000,3,8128.3334960938,7493.3334960938,7291.2822265625,7160.7690429688,2288.2050781250,6288.2050781250,5609.6152343750,5695.8974609375,3614.3588867188,6242.3076171875,3341.1538085938,4994.1025390625,6921.6665039063,542.4359130859,3329.3588867188,5042.1796875000,,,
2720.1015625000,3,3147.4357910156,3475.5129394531,33.2051200867,5166.2822265625,4519.6152343750,2616.1538085938,222.9487152100,6759.8715820313,5615.8974609375,5802.3076171875,4839.8715820313,3341.9230957031,5901.7949218750,3093.2050781250,6869.3588867188,3775.6411132813,,,
2720.1093750000,3,6900.3847656250,3134.1025390625,6773.9741210938,6566.0258789063,3020.1281738281,2640.1281738281,7117.8203125000,7130.1284179688,3421.7949218750,1458.2050781250,563.3333129883,811.5384521484,5762.4360351563,4859.8715820313,4877.8203125000,1201.5384521484,,,
2720.1171875000,3,6733.3334960938,41.4102478027,7865.6411132813,8209.8720703125,668.7179565430,1985.7691650391,7164.4873046875,8305.8974609375,3893.0769042969,108.7179412842,2646.5385742188,2640.8974609375,7973.7177734375,3467.9487304688,3441.1538085938,6844.3588867188,,,
2720.1250000000,3,4403.9741210938,6716.6665039063,6573.4614257813,3849.6154785156,6367.8203125000,449.1025695801,3968.0769042969,369.7435913086,679.1025390625,3866.0256347656,6087.6923828125,4478.3334960938,985.8973999023,1922.4359130859,7979.6152343750,2816.4101562500,,,
2720.1328125000,3,7807.5639648438,3003.3332519531,619.8717651367,3115.5129394531,4716.2822265625,6453.5898437500,1812.1794433594,4170.5126953125,1773.0769042969,1562.5640869141,2750.5126953125,2759.6154785156,3514.7436523438,3804.6154785156,2933.9743652344,1585.1281738281,,,
2720.1406250000,3,455.1282043457,8098.3334960938,5691.9228515625,4022.5642089844,2759.1025390625,8261.2822265625,4874.4873046875,7051.7949218750,8283.0771484375,3916.2819824219,7360.5126953125,6764.4873046875,3119.4870605469,7237.5639648438,3438.8461914063,6550.7690429688,,,
2720.1484375000,3,542.8204956055,2881.5385742188,2453.7180175781,793.8461303711,2381.0256347656,6046.4101562500,5176.0258789063,711.2820434570,1495.5128173828,1387.0512695313,6064.6152343750,4511.1538085938,396.1538391113,5406.6665039063,2133.5898437500,805.5128173828,,,
2720.1562500000,3,7975.5126953125,7585.5126953125,1652.5640869141,7013.4614257813,7398.8461914063,3196.4101562500,4471.5385742188,572.1795043945,5987.9487304688,5661.6665039063,4149.4873046875,5008.2050781250,76.6666564941,2639.2307128906,7175.0000000000,1992.0512695313,,,
2720.1640625000,3,3666.4101562500,1654.3590087891,4362.4360351563,676.6666870117,4320.3847656250,720.8973999023,3457.4357910156,5771.7949218750,4491.9228515625,6913.0771484375,7026.5385742188,1833.4615478516,3242.5642089844,7113.3334960938,7911.0258789063,4838.7177734375,,,
2720.1718750000,3,7063.7177734375,8254.6152343750,3701.6667480469,8041.1538085938,4715.6411132813,6358.8461914063,2067.6923828125,4269.2309570313,6057.8203125000,3385.0000000000,5595.5126953125,7154.7436523438,1034.7435302734,6264.1025390625,655.2564086914,5623.4614257813,,,
2720.1796875000,3,6505.8974609375,3098.4614257813,1021.2820434570,2923.7180175781,3405.6411132813,5402.6923828125,4591.1538085938,8257.5644531250,5300.2563476563,1752.1794433594,2283.0769042969,3747.8205566406,721.1538085938,8148.4614257813,8067.0512695313,5481.5385742188,,,
2720.1875000000,3,3005.0000000000,3289.4870605469,4374.4873046875,5645.0000000000,7674.8715820313,6533.9741210938,5810.0000000000,298.4615173340,6100.1284179688,1584.6153564453,5688.8461914063,3018.2050781250,495.2564086914,1743.2050781250,8213.2050781250,6374.7436523438,,,
2720.1953125000,3,1182.4359130859,6100.3847656250,1730.3846435547,4223.9741210938,786.5384521484,8042.9487304688,3455.3845214844,3095.6411132813,501.7948608398,6974.6152343750,7993.7177734375,2651.7949218750,1157.5640869141,8054.1025390625,292.4358825684,2017.6922607422,,,
2720.2031250000,3,7908.5898437500,2736.2819824219,4904.7436523438,4064.3588867188,7675.5126953125,3189.8718261719,5735.1284179688,3681.6667480469,2719.2307128906,2067.1794433594,3749.6154785156,3321.6667480469,5462.9487304688,639.1025390625,3028.3332519531,2854.2307128906,,,
2720.2109375000,3,5603.7177734375,3694.7436523438,8105.6411132813,389.3589782715,3890.3845214844,6332.3076171875,1348.9743652344,3090.0000000000,61.4102478027,5054.4873046875,4676.2822265625,2916.1538085938,3843.5898437500,1351.7949218750,2237.6923828125,1803.0769042969,,,
2720.2187500000,3,3864.7436523438,3687.3076171875,1909.3590087891,1205.6409912109,7573.4614257813,1560.7691650391,7729.6152343750,8156.2822265625,1223.7178955078,1264.7435302734,333.7179260254,7052.4360351563,159.2307586670,4997.5639648438,175.3846130371,7385.3847656250,,,
2720.2265625000,3,5246.5385742188,1402.6922607422,7588.8461914063,5893.3334960938,2516.6667480469,1397.4359130859,5034.1025390625,207.0512695313,7165.5126953125,4448.9741210938,4098.8461914063,3446.2819824219,8314.3593750000,3769.7436523438,5648.2050781250,1767.0512695313,,,
2720.2343750000,3,3392.0512695313,7051.9228515625,8139.2309570313,685.6409912109,3425.3845214844,627.5640869141,6774.3588867188,7100.0000000000,2662.3076171875,7147.1796875000,6456.5385742188,6376.7949218750,5211.7949218750,5756.9228515625,6318.9741210938,5156.5385742188,,,
2720.2421875000,3,7398.2050781250,579.7435913086,8023.3334960938,7389.7436523438,963.7179565430,2853.5898437500,4632.8203125000,2968.7180175781,5045.8974609375,6120.6411132813,4126.2822265625,5135.1284179688,5035.1284179688,3701.5385742188,3528.9743652344,3307.1794433594,,,
2720.2500000000,3,7773.0771484375,256.0256347656,6475.3847656250,4450.8974609375,232.3076782227,8128.3334960938,5895.7690429688,1303.5897216797,4248.5898437500,3185.1281738281,5461.4101562500,3165.8974609375,6504.6152343750,7013.9741210938,1383.2050781250,4040.2563476563,,,
2720.2578125000,3,5201.0258789063,6884.2309570313,4486.5385742188,5986.5385742188,5755.6411132813,8213.5898437500,258.7179260254,6255.2563476563,482.5640869141,6354.8715820313,2700.3845214844,876.5384521484,2336.7949218750,916.1538085938,5548.4614257813,3224.3588867188,,,
2720.2656250000,3,6539.2309570313,5257.5639648438,1714.6153564453,8336.2822265625,0.6410166621,7585.0000000000,5457.0512695313,6856.4101562500,6801.1538085938,7994.4873046875,7091.6665039063,8202.0517578125,2453.9743652344,4220.3847656250,3548.9743652344,1283.0769042969,,,
2720.2734375000,3,7906.7949218750,5006.4101562500,3299.7436523438,2326.5385742188,5244.1025390625,2516.4101562500,2933.2050781250,2369.3588867188,1593.4615478516,699.4871826172,8011.5385742188,8249.7431640625,1936.0256347656,6419.8715820313,4207.6923828125,6052.4360351563,,,
