Time:128Hz,Epoch,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,Reference,Reference.1,Label,Mode of Stimulus,Stage
710.546875,0,6105.6411132813,6929.615234375,4209.3588867188,4829.615234375,6280.8974609375,5324.2309570313,3087.8205566406,8120.0,5505.7690429688,62.5640945435,2125.3845214844,2728.0769042969,4417.6923828125,3594.7436523438,4694.4873046875,7755.0,Lamp,audio,get_ready
710.5546875,0,8239.615234375,4470.384765625,119.6153793335,7212.0512695313,2118.7180175781,580.3845825195,4015.7692871094,4336.6665039063,3009.8718261719,812.3076782227,3356.2819824219,4446.1538085938,1405.3846435547,3695.8974609375,2927.0512695313,776.4102783203,Lamp,audio,get_ready
710.5625,0,69.7435836792,3701.9230957031,4171.0258789063,2846.41015625,2170.7692871094,761.282043457,6485.7690429688,5865.5126953125,4142.4360351563,8375.0,2492.4357910156,7473.4614257813,371.5384521484,7791.2822265625,4917.3076171875,4423.8461914063,Lamp,audio,get_ready
710.5703125,0,1927.4359130859,4329.8715820313,1435.3846435547,4168.0771484375,8390.76953125,6504.4873046875,4980.1284179688,7477.9487304688,139.3589630127,8038.7177734375,3396.41015625,3353.4614257813,2321.6667480469,2160.8974609375,7058.8461914063,5179.7436523438,Lamp,audio,get_ready
710.578125,0,4732.1796875,761.6666870117,6752.4360351563,999.8717651367,1183.0769042969,694.1025390625,7756.9228515625,5205.2563476563,5746.1538085938,6365.6411132813,5076.41015625,5726.9228515625,7602.5639648438,4305.1284179688,5962.5639648438,376.5384521484,Lamp,audio,get_ready
710.5859375,0,519.1025390625,3759.3588867188,757.0512695313,4012.1794433594,5906.41015625,8172.6923828125,7729.4873046875,4079.2307128906,5666.41015625,1818.5897216797,4154.2309570313,2433.0769042969,4493.3334960938,4020.7692871094,1544.6153564453,2799.8718261719,Lamp,audio,get_ready
710.59375,0,4313.58984375,998.0769042969,6557.3076171875,4042.1794433594,867.5640869141,1996.1538085938,1005.7692260742,4322.5639648438,631.0256347656,2842.4357910156,6831.6665039063,4282.1796875,369.7435913086,5184.4873046875,6904.2309570313,6571.41015625,Lamp,audio,get_ready
710.6015625,0,2446.6667480469,5893.4614257813,5639.1025390625,8375.5126953125,235.7692260742,5214.1025390625,5359.3588867188,105.6410140991,7018.9741210938,2882.6923828125,2252.8205566406,1397.4359130859,1091.6666259766,3595.2563476563,698.0769042969,2894.6154785156,Lamp,audio,get_ready
710.609375,0,4885.5126953125,5918.3334960938,7399.8715820313,616.5384521484,5641.6665039063,2598.8461914063,8218.58984375,6753.3334960938,1759.1025390625,6005.8974609375,2611.1538085938,4978.3334960938,5722.9487304688,2408.8461914063,8249.7431640625,7940.0,Lamp,audio,get_ready
710.6171875,0,7435.2563476563,6720.7690429688,8322.9482421875,4101.0258789063,4820.8974609375,5053.7177734375,8124.615234375,1367.5640869141,3487.6923828125,3623.3332519531,2520.6411132813,6495.0,5634.3588867188,697.3076782227,6383.7177734375,1917.5640869141,Lamp,audio,get_ready
710.625,0,7835.6411132813,6664.8715820313,2428.58984375,3522.4357910156,3943.205078125,5803.58984375,4757.3076171875,4230.1284179688,6457.9487304688,2594.7436523438,7918.205078125,7303.4614257813,6851.1538085938,1600.3846435547,1220.2563476563,7885.0,Lamp,audio,get_ready
710.6328125,0,4468.205078125,6569.1025390625,6681.41015625,1544.7435302734,1825.2563476563,7123.7177734375,534.2307739258,4992.4360351563,5457.3076171875,4113.8461914063,5108.58984375,5893.8461914063,183.9743499756,480.8974304199,3982.6923828125,5121.794921875,Lamp,audio,get_ready
710.640625,0,2071.41015625,8144.4873046875,3543.205078125,626.5384521484,773.4615478516,6731.0258789063,2357.3076171875,2023.0769042969,1786.1538085938,233.2051239014,3467.5642089844,2092.4357910156,1020.8973999023,7644.615234375,5280.384765625,6131.0258789063,Lamp,audio,get_ready
710.6484375,0,7647.9487304688,1852.5640869141,4258.0771484375,3490.5129394531,2815.8974609375,5058.0771484375,8250.0,4281.1538085938,592.9487304688,1469.7435302734,3723.4614257813,1020.7692260742,6481.5385742188,5188.58984375,2678.3332519531,6448.3334960938,Lamp,audio,get_ready
710.65625,0,8214.359375,1271.1538085938,6524.615234375,7424.2309570313,1357.5640869141,6335.7690429688,8029.615234375,2434.4870605469,5156.2822265625,1669.6153564453,8298.4619140625,6354.8715820313,1618.3333740234,3968.9743652344,3438.0769042969,1148.4615478516,Lamp,audio,get_ready
710.6640625,0,3618.0769042969,2331.1538085938,4855.1284179688,1083.3333740234,726.4102783203,2738.8461914063,1107.9487304688,701.282043457,4125.7690429688,6480.0,4715.384765625,2678.7180175781,8319.8720703125,897.5640869141,6324.8715820313,1933.205078125,Lamp,audio,get_ready
710.671875,0,3665.8974609375,7842.8203125,6475.5126953125,802.4359130859,7864.1025390625,358.9743652344,3381.41015625,6596.2822265625,2938.3332519531,1030.8974609375,4507.9487304688,1233.9743652344,297.179473877,3807.0512695313,4921.5385742188,3408.7180175781,Lamp,audio,get_ready
710.6796875,0,7358.4614257813,4121.5385742188,7613.974609375,6818.8461914063,8184.7436523438,6563.4614257813,344.8717956543,416.5384521484,4793.7177734375,8215.384765625,6209.4873046875,5553.3334960938,4578.4614257813,148.8461456299,1319.1025390625,6118.58984375,Lamp,audio,get_ready
